Date;Dated Brent;Propane;Gasoline;Jet;Gasoil;FO 1%;ULSD;Naphtha;Butane;FO 3.5%;VGO 0.5%;FO 0.5%;VGO 2%;
01.02.2007;57.4;-16.50637471;;17.93665957;;-16.61122244;;3.923611235;-17.49697768;-18.55226784;0.043850014;;-1.66283208;
01.03.2007;62.1;-19.78818716;;16.45387592;;-18.58923893;;5.070345333;-18.91967431;-20.91005176;0.608494885;;-0.489409236;
01.04.2007;67.5;-23.74280289;;15.81474571;;-17.95670572;;5.447967848;-24.28723366;-20.07801052;-1.713487403;;-2.767249955;
01.05.2007;67.2;-21.59235981;;17.91727798;;-14.84828198;;8.943976399;-22.80103503;-18.61580667;1.132331376;;-2.420636138;
01.06.2007;71.5;-25.17559589;;16.6727577;;-16.24470034;;2.722809206;-25.1905118;-21.10068203;3.617936623;;-0.259634076;
01.07.2007;77;-28.92446821;;14.17770069;;-15.64083497;;-0.82783244;-29.5331391;-21.36722583;-0.481334447;;-2.749459726;
01.08.2007;70.7;-23.2808602;;17.34182523;;-11.89614076;;1.118652851;-21.47976388;-16.85368367;0.671083938;;-1.221735923;
01.09.2007;76.9;-25.15062764;;17.72522346;;-14.85581978;;0.483114016;-23.59620321;-19.23837699;1.807821377;;-0.077845386;
01.10.2007;82.5;-24.72717051;;19.35378189;15.66651307;-14.86236084;;0.504905209;-22.20767849;-17.98640885;-0.791063186;;-4.015459811;
01.11.2007;92.6;-26.05047199;;24.42333584;22.21691737;-14.00181186;29.17823187;-0.742973;-28.16836193;-19.39969444;-4.479624477;;-6.749393326;
01.12.2007;91;-23.16731793;;21.19016484;19.94724232;-13.50559962;21.94069446;1.970498702;-26.09456557;-22.66119303;-2.536207626;;-3.827583302;
01.01.2008;92;-26.93098635;;18.75646093;17.65292122;-15.16210659;19.39129267;0.046912028;-30.31187225;-23.92626021;-0.139477557;;-3.393744262;
01.02.2008;95;-33.06196629;;22.67838979;21.44935161;-19.32383852;24.01190476;-2.39177128;-33.56164933;-27.71165125;2.321958896;;-0.485491825;
01.03.2008;103.7;-39.98244453;;31.11414237;25.99925592;-22.62400145;32.28494462;-7.580788442;-40.93333389;-30.72906461;1.295131824;;-0.406040401;
01.04.2008;109;-44.48428454;;37.96702855;30.65166943;-21.22173386;36.51888869;-8.555497522;-45.9935036;-32.66192335;2.193072159;;-2.800090594;
01.05.2008;122.7;-53.17788389;;41.07137404;37.59538209;-26.34542385;42.87206459;-13.30098544;-55.3847608;-39.8089992;2.590537381;;-2.802834433;
01.06.2008;132.4;-59.71505202;;35.76426755;33.52916771;-25.42465112;37.66154444;-10.98330685;-59.80827647;-39.55457065;2.04642685;;-2.64040594;
01.07.2008;133.2;-58.87545061;;39.31611874;32.56489943;-15.47911448;35.62857842;-12.79072496;-55.92355929;-28.48705938;0.185027732;;-2.886874269;
01.08.2008;113;-48.43081348;;31.84960116;26.73888894;-10.99486286;28.85223596;-6.727786165;-46.24936141;-17.09226894;2.026645385;;-1.546160654;
01.09.2008;98.1;-37.45110878;;33.42712102;30.3160153;-10.70520718;32.81091867;-3.932710588;-34.10519862;-13.82672039;2.220206038;;-1.575616667;
01.10.2008;71.9;-30.07298134;5.871626066;27.55747215;27.39471462;-7.167652016;30.15625852;-13.05225831;-26.87595026;-15.7872263;-2.622472803;;-6.005652488;
01.11.2008;52.5;-25.49497063;0.860826335;28.49536078;26.77778266;-5.917669223;29.63799483;-18.43909066;-25.21697533;-19.94331666;-4.707745878;;-7.410595169;
01.12.2008;40.3;-13.15266658;1.097914243;21.74240499;21.25395887;-2.530987836;24.28552688;-11.36936645;-15.66875387;-12.72613209;-3.583551584;;-6.857469658;
01.01.2009;43.6;-5.710833274;3.788769973;18.77080998;18.30254007;-4.264229077;20.71962077;-4.549400849;-11.69787677;-9.444440427;-2.219030557;;-6.155378415;
01.02.2009;43.1;-3.304925607;7.715842831;12.07780674;11.03064455;-3.879742211;14.15438566;1.172213571;-9.330767424;-7.170645771;-0.95255713;;-4.346034134;
01.03.2009;46.5;-17.49874315;7.449201342;9.181794775;8.267486663;-6.490103303;11.48720907;-2.232229245;-18.35657756;-9.86150668;3.29138783;;-0.561959792;
01.04.2009;50.3;-22.1231626;9.091257294;9.898908571;8.693217342;-5.511738315;11.5207745;-3.056897057;-22.20503061;-8.779978307;2.757253662;;-1.729689826;
01.05.2009;57.5;-27.38918373;15.15932414;8.25019647;5.869022745;-4.039796209;8.831225485;-4.374192489;-23.68630868;-7.055362149;3.044790556;;-0.328282711;
01.06.2009;68.6;-31.27271392;13.88737593;10.14186485;6.552322015;-6.93804994;9.570621025;-5.29524598;-27.75594878;-10.17938133;1.839638612;;-1.322588227;
01.07.2009;64.6;-26.84945627;10.90837537;8.879913209;7.125453611;-3.964811833;8.803981878;-2.728154955;-24.37252324;-5.76080492;1.818684459;;0.317319868;
01.08.2009;72.8;-30.18029515;10.88444525;7.821609451;7.192159674;-3.851283862;9.436591756;-1.477982149;-26.6303082;-7.133906164;2.655599061;;0.67548969;
